"","Q","Other","Self","Percentile","Subject"
"X11.51",11,0.5,0.5,0.5,52
"X12.51",12,0.25,0.1,0.5,52
"X1.52",1,0.65,0.97,0.8,53
"X2.52",2,0.8,0.97,0.8,53
"X3.52",3,0.75,0.95,0.8,53
"X4.52",4,0.25,0.25,0.8,53
"X5.52",5,0.75,0.95,0.8,53
"X6.52",6,0.4,0.94,0.8,53
"X7.52",7,0.45,0.7,0.8,53
"X8.52",8,0.4,0.5,0.8,53
"X9.52",9,0.55,0.8,0.8,53
"X10.52",10,0.35,0.5,0.8,53
"X11.52",11,0.25,0.3,0.8,53
"X12.52",12,0.45,0.5,0.8,53
"X1.53",1,0.7,1,0.9,54
"X2.53",2,0.7,1,0.9,54
"X3.53",3,0.5,1,0.9,54
"X4.53",4,0.25,0.5,0.9,54
"X5.53",5,0.4,1,0.9,54
"X6.53",6,0.7,1,0.9,54
"X7.53",7,0.3,0.5,0.9,54
"X8.53",8,1,0.25,0.9,54
"X9.53",9,0.4,1,0.9,54
"X10.53",10,0.25,0.5,0.9,54
"X11.53",11,0.25,0.5,0.9,54
"X12.53",12,0.34,0.5,0.9,54
"X1.54",1,0.9,1,0.8,55
"X2.54",2,0.95,1,0.8,55
"X3.54",3,0.95,1,0.8,55
"X4.54",4,0.75,0.75,0.8,55
"X5.54",5,0.9,1,0.8,55
"X6.54",6,0.65,1,0.8,55
"X7.54",7,0.4,0.65,0.8,55
"X8.54",8,0.75,1,0.8,55
"X9.54",9,0.4,0.9,0.8,55
"X10.54",10,0.9,1,0.8,55
"X11.54",11,0.45,0.66,0.8,55
"X12.54",12,0.75,0.8,0.8,55
"X1.55",1,0.8,1,0.9,56
"X2.55",2,0.8,1,0.9,56
"X3.55",3,1,1,0.9,56
"X4.55",4,0.5,0.4,0.9,56
