"","X","Q","Other","Self","Percentile","Subject"
"343","X7.21",7,0.5,1,0.9,22
"344","X8.21",8,0.75,1,0.9,22
"345","X9.21",9,0.5,0.5,0.9,22
"346","X10.21",10,0.5,1,0.9,22
"347","X11.21",11,0.25,0.75,0.9,22
"348","X12.21",12,1,1,0.9,22
"349","X13.21",13,0,0,0.9,22
"350","X14.21",14,0.75,1,0.9,22
"351","X15.21",15,1,1,0.9,22
"352","X16.21",16,1,1,0.9,22
"353","X1.22",1,0.5,1,0.7,23
"354","X2.22",2,0.6,1,0.7,23
"355","X3.22",3,0.7,1,0.7,23
"356","X4.22",4,0.6,1,0.7,23
"357","X5.22",5,0.5,1,0.7,23
"358","X6.22",6,0.3,0.5,0.7,23
"359","X7.22",7,0.3,0.3,0.7,23
"360","X8.22",8,0.4,0.6,0.7,23
"361","X9.22",9,0.5,0.5,0.7,23
"362","X10.22",10,0.25,0.4,0.7,23
"363","X11.22",11,0.3,0.5,0.7,23
"364","X12.22",12,0.4,0.5,0.7,23
"365","X13.22",13,0.7,1,0.7,23
"366","X14.22",14,0.6,1,0.7,23
"367","X15.22",15,0.5,1,0.7,23
"368","X16.22",16,0.2,0.6,0.7,23
"369","X1.23",1,0.55,0.7,0.75,24
"370","X2.23",2,0.75,1,0.75,24
"371","X3.23",3,0.7,0.45,0.75,24
"372","X4.23",4,0.5,0.3,0.75,24
"373","X5.23",5,0.3,0.4,0.75,24
"374","X6.23",6,0.6,0.75,0.75,24
"375","X7.23",7,0.3,0.25,0.75,24
"376","X8.23",8,0.6,0.6,0.75,24
"377","X9.23",9,0.55,1,0.75,24
"378","X10.23",10,0.5,0.5,0.75,24
"379","X11.23",11,0.5,0.5,0.75,24
"380","X12.23",12,0.5,0.5,0.75,24
"381","X13.23",13,0.5,0.55,0.75,24
"382","X14.23",14,1,1,0.75,24
"383","X15.23",15,1,0.85,0.75,24
"384","X16.23",16,1,1,0.75,24
"385","X1.24",1,0.3,0.4,0.85,25
"386","X2.24",2,0.75,1,0.85,25
"387","X3.24",3,0.55,0.7,0.85,25
"388","X4.24",4,0.33,0.33,0.85,25
"389","X5.24",5,0.5,1,0.85,25
"390","X6.24",6,0.4,1,0.85,25
"391","X7.24",7,0.5,1,0.85,25
"392","X8.24",8,0.3,0.5,0.85,25
"393","X9.24",9,0.35,0.5,0.85,25
"394","X10.24",10,0.25,0.34,0.85,25
"395","X11.24",11,0.6,0.5,0.85,25
"396","X12.24",12,0.5,0.5,0.85,25
"397","X13.24",13,0.8,1,0.85,25
"398","X14.24",14,0.7,1,0.85,25
"399","X15.24",15,0.75,1,0.85,25
"400","X16.24",16,0.4,1,0.85,25
"401","X1.25",1,0.6,0.8,0.2,26
